,,,,,,
Location,General District Court,Position,juvenile domestic court (JDR),Position, Circuit Court  https://www.vacourts.gov/courts/circuit.html,Position
Accomack ,Hon. Gordon S. Vincent,"Presiding Judge, Chief Judge",Hon. Cela J. Burge,Chief Judge,Hon. Leslie L. Lilley,Chief Judge
,,,,,Hon. Kevin M. Duffan,
,,,,,Hon. Steven C. Frucci,
,,,,,Hon. William Revell Lewis III,
,,,,,Hon. James Clayton Lewis,
,,,,,Hon. Stephen C. Mahan,
,,,,,Hon. Anne Bonwill Shockley,
Abemarle,Hon. Matthew J. Quatrara,Presiding Judge,Hon. Deborah S. Tinsley,Chief Judge,Hon. Cheryl V. Higgins,Presiding Judge
,Hon. Claiborne H. Stokes Jr.,Chief Judge,Hon. David M Barredo,,Hon. Timothy K. Sanner,Chief Judge
,Hon. Theresa W. Carter,,Hon. Gilbert H. Berger,,Hon. Dale B. Durrer,
,Hon. Kenneth Andrew Sneathern,,Hon. Barbara G. Lowe,,Hon. David B. Franzen,
,,,Hon. Ronald L. Morris,,Hon. Richard E. Moore,
,,,Hon. Frank W. Somerville,,Hon. Claude V. Worrell Jr.,
Alexandria ,Hon. Donald M. Haddock Jr.,Chief Judge,Hon. Constance H. Frogale,"Presiding Judge, Chief Judge",Hon. Lisa Bondareff Kemler,"Presiding Judge, Chief Judge"
,Hon. Sonya L. Sacks,,Hon. Thomas Kevin Cullen,"Presiding Judge, Chief Judge","Hon. James C. Clark, Presiding Judge",
,,,,,Hon. Kathleen M. Uston,
Alleghany ,Hon. Robin J. Mayer,Presiding Judge,Hon. Correy R. Smith,Chief Judge,Hon. Edward K. Stein,Presiding Judge
,Hon. William Harrison Cleaveland,Chief Judge,Hon. Robert C. Hagan Jr.,,Hon. William Chapman Goodwin,Chief Judge
,Hon. Christopher M. Billias,,Hon. Linda Schorsch Jones,,Hon. Joel R. Branscom,
,Hon. Rupen R. Shah,,Hon. Susan B. Read,,Hon. Paul A. Dryer,
