Location,Name,Position,Place
Accomack ,Gordon S. Vincent,"Presiding Judge, Chief Judge",General District Court
Accomack ,,,General District Court
Accomack ,,,General District Court
Accomack ,,,General District Court
Accomack ,,,General District Court
Accomack ,,,General District Court
Accomack ,,,General District Court
Abemarle,Matthew J. Quatrara,Presiding Judge,General District Court
Abemarle,Claiborne H. Stokes Jr.,Chief Judge,General District Court
Abemarle,Theresa W. Carter,,General District Court
Abemarle,Kenneth Andrew Sneathern,,General District Court
Abemarle,,,General District Court
Abemarle,,,General District Court
Alexandria ,Donald M. Haddock Jr.,Chief Judge,General District Court
Alexandria ,Sonya L. Sacks,,General District Court
Alexandria ,,,General District Court
Alleghany ,Robin J. Mayer,Presiding Judge,General District Court
Alleghany ,William Harrison Cleaveland,Chief Judge,General District Court
Alleghany ,Christopher M. Billias,,General District Court
Alleghany ,Rupen R. Shah,,General District Court
Alleghany ,,,General District Court
Alleghany ,,,General District Court
Amelia,Thomas Stark IV,Presiding Judge,General District Court
Amelia,Ray P. Lupold III,Chief Judge,General District Court
Amelia,Kenneth A. Blalock,,General District Court
Amherst ,Sam Daniel Eggleston,Chief Judge,General District Court
Amherst ,Randy C. Krantz,,General District Court
Amherst ,Stephanie S. Maddox,,General District Court
Amherst ,,,General District Court
Amherst ,,,General District Court
Amherst ,,,General District Court
Appomattox ,Calvin S. Spencer Jr.,Chief Judge,General District Court
Appomattox ,Jody H. Fariss,,General District Court
Appomattox ,Darrel W. Puckett,,General District Court
Appomattox ,,,General District Court
Arlington,Jason S. Rucker,Chief Judge,General District Court
Arlington,Daniel Tomas Lopez,,General District Court
Arlington,Romaine Frances O'Brien,,General District Court
Arlington,,,General District Court
Augusta ,William Harrison Cleaveland,Chief Judge,General District Court
Augusta ,Christopher M. Billias,,General District Court
Augusta ,Robin J. Mayer,,General District Court
Augusta ,Rupen R. Shah,,General District Court
Augusta ,,,General District Court
Augusta ,,,General District Court
Bath ,William Harrison Cleaveland,Chief Judge,General District Court
Bath ,Christopher M. Billias,,General District Court
Bath ,Robin J. Mayer,,General District Court
Bath ,Rupen R. Shah,,General District Court
Bath ,,,General District Court
Bath ,,,General District Court
Bedford ,Randy C. Krantz,Presiding Judge,General District Court
Bedford ,Stephanie S. Maddox,Presiding Judge,General District Court
Bedford ,Sam Daniel Eggleston,Chief Judge,General District Court
Bedford ,,,General District Court
Bedford ,,,General District Court
Bedford ,,,General District Court
Bland ,Gino W. Williams,"Presiding Judge, Chief Judge",General District Court
Bland ,J. D. Bolt,,General District Court
Bland ,Erin J. DeHart,,General District Court
Bland ,Randal J. Duncan,,General District Court
Bland ,Gerald Eugene Mabe II,,General District Court
Bland ,,,General District Court
Botetourt,William Harrison Cleaveland,"Presiding Judge, Chief Judge",General District Court
Botetourt,Christopher M. Billias,,General District Court
Botetourt,Robin J. Mayer,,General District Court
Botetourt,Rupen R. Shah,,General District Court
Botetourt,,,General District Court
Botetourt,,,General District Court
Bristol ,Eric R. Thiessen,Chief Judge,General District Court
Bristol ,Robert L. Hobbs,,General District Court
Bristol ,Travis B. Lee,,General District Court
Bristol ,,,General District Court
Brunswick ,Churchill Ridley Bain,Presiding Judge,General District Court
Brunswick ,Bruce A. Clark Jr.,Chief Judge,General District Court
Brunswick ,Elbert D. Mumphery,,General District Court
Brunswick ,Lyndia P. Ramsey,,General District Court
Brunswick ,Harold Lee Townsend III,,General District Court
Buchanan ,George Robert Brittain,Chief Judge,General District Court
Buchanan ,Henry A. Barringer,,General District Court
Buchanan ,,,General District Court
Buchanan ,,,General District Court
Buchanan ,,,General District Court
